Region,GINI index,happy planet index,human development index,sustainable economic development assessment (SEDA),"GDP growth (annual %)","GDP ($ USD billions PPP)",GDP per capita in $ (PPP),Economic Growth,"health expenditure % of GDP",infant mortality,"maternal mortality per 100,000 live births","education expenditure % of GDP",Education as % of GDP,% of primary school aged kids out of school,unemployment (%),% of population in extreme poverty,% of population with access to electricity,political rights score,civil liberties score,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,overall economic freedom score,financial freedom score,government expenditure (% of GDP),CO2e emissions per capita,share of electricity from renewables generation,% of seats held by women in national parliaments,Military Spending as % of GDP
0,37.1875,23.32857142857143,0.7034285714285715,51.01666666666667,2.2,734.7242350888508,13045.80574780891,3.535665462281471,2.3743922180599633,19.166666666666668,149.33333333333334,4.677717447,2.6780988110436343,4.134800084763105,13.077777777777778,0.43333333333333335,80.11928431193034,18.11111111111111,28.555555555555557,-0.6375,-0.12874999999999998,-0.03625000000000001,-0.40249999999999997,-0.41750000000000004,43.733333333333334,40.27777777777778,64.2375,53.75,31.2,3.33110045372643,0.22088888888888888,17.2375,0.018503738574441167
Americas,46.0,32.228,0.7501379310344828,51.88214285714286,1.9586206896551723,1081.5539503781213,17797.165604081893,2.1942423367464716,3.9263731364546155,11.52440252995499,82.51724137931035,5.283064331357143,4.1696993359204,3.1889679010572096,7.848275862068966,0.696551724137931,96.74738324921707,28.93103448275862,41.758620689655174,0.0606896551724138,-0.08620689655172414,-0.07275862068965519,-0.26275862068965516,-0.1313793103448276,40.91379310344828,38.06896551724138,59.40689655172414,50.3448275862069,30.93448275862069,3.7775028884706656,0.41051724137931034,25.520689655172415,0.011231239046737118
East Asia & Pacific,39.35294117647059,28.807692307692307,0.7392380952380952,56.5375,4.081818181818182,1772.1952208618932,21113.197964130683,4.124795960896825,3.9752654649994583,19.42413868009481,74.86363636363636,4.097548094545455,3.81664362820712,2.0068340944972904,4.831818181818182,0.14545454545454545,92.31240532614969,20.227272727272727,32.09090909090909,0.22545454545454546,0.17863636363636365,0.09909090909090912,0.015000000000000012,0.020909090909090922,49.71818181818182,45.25,61.27272727272727,46.81818181818182,30.904761904761905,4.88550855856032,0.26795454545454545,17.46818181818182,0.015137450591168132
Europe & Central Asia,31.204651162790697,27.353658536585368,0.8468837209302325,67.19999999999999,2.088636363636364,576.7327402011915,37500.251277978234,3.5627950826560735,4.00446338003332,18.42644749536514,17.295454545454547,5.142106496423077,4.0492350242354656,1.9893979729366185,9.355813953488372,0.225,97.71543849598278,30.068181818181817,44.84090909090909,0.3572727272727273,0.6759090909090909,0.7215909090909091,0.6093181818181818,0.5681818181818182,60.570454545454545,54.53409090909091,67.9090909090909,59.54545454545455,41.08409090909091,5.704216651569082,0.3897045454545454,27.54186046511628,0.01757110611562662
Middle East & North Africa,38.208333333333336,25.585714285714285,0.7306666666666667,52.50555555555556,1.1666666666666665,408.12032510736543,26802.75332632553,2.5816541170683767,2.3399809428623746,19.551009578318343,84.61904761904762,4.015545713,2.6032632646106544,3.050162869549931,9.242857142857142,0.05238095238095238,94.19124675932385,12.142857142857142,21.476190476190474,-0.9380952380952381,-0.2342857142857143,-0.32333333333333336,-0.3019047619047619,-0.3266666666666667,44.82380952380953,40.19047619047619,60.00555555555555,50.0,37.70952380952381,8.316104770217555,0.08157142857142857,14.804761904761904,0.038762548405728924
South Asia,35.62,32.1,0.6407999999999999,42.8,6.0,2008.6366263701634,10147.82381903738,5.544554079585268,2.28998200893402,19.78,144.6,3.9430766503333334,3.556884050369262,1.7351620793342586,3.6399999999999997,0.36,97.01999969482422,26.2,31.2,-0.334,-0.22399999999999998,-0.44800000000000006,-0.13200000000000003,-0.13999999999999999,45.339999999999996,34.92,56.660000000000004,34.0,22.18,1.0581877726490785,0.5298,15.2,0.014280194851808994
Sub-Saharan Africa,44.636842105263156,19.53548387096774,0.528,32.73428571428572,2.686046511627907,91.0882572208967,4749.858275260963,3.288499465198922,3.475430350412022,20.471372388115494,446.1136363636364,4.6660205188947375,3.558582446791908,8.39137724583799,9.251162790697675,3.5295454545454548,50.3986060294238,16.568181818181817,26.15909090909091,-0.6681818181818181,-0.8731818181818182,-0.7472727272727273,-0.7443181818181818,-0.7343181818181819,36.76046511627907,30.662790697674417,54.38095238095238,39.285714285714285,26.728571428571428,0.8256423019851881,0.4586363636363636,22.338636363636365,0.014090301100802085
